Name,Subtitle,Acceleration,TopSpeed (/H),Range (KM),Range (Miles),Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK,PriceinUS
Tesla Cybertruck Tri Motor,Battery Electric Vehicle |       200 kWh ,3.0 sec,210 /h,750,465,267 Wh/,710 /h,All Wheel Drive,7,"75,000","68,000",135856.65
Lexus UX 300e,Battery Electric Vehicle |       50 kWh ,7.5 sec,160 /h,260,161.2,192 Wh/,150 /h,Front Wheel Drive,5,"47,550","43,900",86882.25
BMW i4 eDrive40,Battery Electric Vehicle |       80.7 kWh,5.7 sec,190 /h,475,294.5,170 Wh/,660 /h,Rear Wheel Drive,5,"58,300","51,905",104699.5
Audi e-tron 55 quattro,Battery Electric Vehicle |       86.5 kWh,5.7 sec,200 /h,365,226.3,237 Wh/,590 /h,All Wheel Drive,5,N/A,"71,500",67929.75
Aiways U5 ,Battery Electric Vehicle |       63 kWh ,7.5 sec,150 /h,335,207.7,188 Wh/,350 /h,Front Wheel Drive,5,"35,993",N/A,34198.1
Renault Twingo Electric,Battery Electric Vehicle |       21.3 kWh,12.6 sec,135 /h,130,80.6,164 Wh/,-,Rear Wheel Drive,4,"24,790",N/A,23554.3
Audi e-tron S 55 quattro,Battery Electric Vehicle |       86.5 kWh,4.5 sec,210 /h,320,198.4,270 Wh/,510 /h,All Wheel Drive,5,"93,800","87,000",171764.75
Audi e-tron S Sportback 55 quattro,Battery Electric Vehicle |       86.5 kWh,4.5 sec,210 /h,335,207.7,258 Wh/,540 /h,All Wheel Drive,5,"96,050","88,700",175517.25
Volkswagen ID.4 1st,Battery Electric Vehicle |       77 kWh,8.5 sec,160 /h,410,254.2,188 Wh/,500 /h,Rear Wheel Drive,5,N/A,"40,800",38764.75
Byton M-Byte 95 kWh 2WD,Battery Electric Vehicle |       95 kWh ,7.5 sec,190 /h,400,248,238 Wh/,480 /h,Rear Wheel Drive,5,"62,000","57,500",113529.75
Fiat 500e Cabrio,Battery Electric Vehicle |       37.3 kWh ,9.0 sec,150 /h,245,151.9,152 Wh/,410 /h,Front Wheel Drive,4,"30,560","26,645",54348.55
Opel Mokka-e ,Battery Electric Vehicle |       45 kWh ,8.5 sec,150 /h,255,158.1,176 Wh/,340 /h,Front Wheel Drive,5,"34,110","30,540",61422.25
Skoda Enyaq iV 60,Battery Electric Vehicle |       58 kWh,8.7 sec,160 /h,330,204.6,176 Wh/,420 /h,Rear Wheel Drive,5,"38,850","31,995",67307.5
Skoda Enyaq iV 80,Battery Electric Vehicle |       77 kWh,8.6 sec,160 /h,420,260.4,183 Wh/,510 /h,Rear Wheel Drive,5,"43,950","39,350",79139.75
Skoda Enyaq iV 80X,Battery Electric Vehicle |       77 kWh,6.9 sec,160 /h,405,251.1,190 Wh/,500 /h,All Wheel Drive,5,"47,000","42,000",84554.75
Skoda Enyaq iV RS,Battery Electric Vehicle |       77 kWh,6.2 sec,180 /h,395,244.9,195 Wh/,480 /h,All Wheel Drive,5,"50,000","45,000",90254.75
Fiat 500e Hatchback 42 kWh,Battery Electric Vehicle |       37.3 kWh ,9.0 sec,150 /h,250,155,149 Wh/,420 /h,Front Wheel Drive,4,"27,560","23,995",48981.05
Citroen e-C4 ,Battery Electric Vehicle |       45 kWh ,9.7 sec,150 /h,250,155,180 Wh/,330 /h,Front Wheel Drive,5,"34,640","30,895",62263
Jaguar I-Pace EV400,Battery Electric Vehicle |       84.7 kWh,4.8 sec,200 /h,365,226.3,232 Wh/,340 /h,All Wheel Drive,5,"77,300","65,195",135375
Kia e-Soul 64 kWh,Battery Electric Vehicle |       64 kWh,7.9 sec,167 /h,370,229.4,173 Wh/,350 /h,Front Wheel Drive,5,"37,790",N/A,35905.25
Kia e-Soul 39 kWh,Battery Electric Vehicle |       39.2 kWh,9.9 sec,157 /h,230,142.6,170 Wh/,220 /h,Front Wheel Drive,5,"33,990",N/A,32295.25
Audi Q4 Sportback e-tron 35,Battery Electric Vehicle |       51.5 kWh,9.0 sec,160 /h,295,182.9,175 Wh/,410 /h,Rear Wheel Drive,5,"43,900","42,250",81847.25
Nissan Ariya 63kWh,Battery Electric Vehicle |       63 kWh,7.5 sec,160 /h,335,207.7,188 Wh/,450 /h,Front Wheel Drive,5,"45,000","40,000",80754.75
Nissan Ariya 87kWh,Battery Electric Vehicle |       87 kWh,7.6 sec,160 /h,445,275.9,196 Wh/,530 /h,Front Wheel Drive,5,"50,000","45,000",90254.75
Nissan Ariya e-4ORCE 63kWh,Battery Electric Vehicle |       63 kWh,5.9 sec,200 /h,325,201.5,194 Wh/,440 /h,All Wheel Drive,5,"50,000","45,000",90254.75
Nissan Ariya e-4ORCE 87kWh,Battery Electric Vehicle |       87 kWh,5.7 sec,200 /h,420,260.4,207 Wh/,500 /h,All Wheel Drive,5,"57,500","52,500",104504.75
Nissan Ariya e-4ORCE 87kWh Performance,Battery Electric Vehicle |       87 kWh,5.1 sec,200 /h,385,238.7,226 Wh/,460 /h,All Wheel Drive,5,"65,000","57,500",116379.75
Volkswagen ID.3 Pro Performance,Battery Electric Vehicle |       58 kWh,7.3 sec,160 /h,350,217,166 Wh/,440 /h,Rear Wheel Drive,5,"36,495","29,740",62928
MG MG5 EV,Battery Electric Vehicle |       48.8 kWh,7.7 sec,185 /h,295,182.9,165 Wh/,340 /h,Front Wheel Drive,5,N/A,"25,095",23845
Volkswagen ID.4 Pro Performance,Battery Electric Vehicle |       77 kWh,8.5 sec,160 /h,410,254.2,188 Wh/,500 /h,Rear Wheel Drive,5,"44,450","41,570",81723.75
